bird_y, bottom_pipe_y, top_pipe_y, dist, did_jump
355,624,444,333,0
360,624,444,331,0
365,624,444,329,0
371,624,444,327,0
377,624,444,325,0
383,624,444,323,0
389,624,444,321,0
395,624,444,319,0
402,624,444,317,0
409,624,444,315,0
416,624,444,313,0
423,624,444,311,0
430,624,444,309,0
438,624,444,307,0
446,624,444,305,0
454,624,444,303,0
462,624,444,301,0
470,624,444,299,0
479,624,444,297,0
488,624,444,295,0
497,624,444,293,0
506,624,444,291,0
515,624,444,289,0
525,624,444,287,0
535,624,444,285,0
545,624,444,283,0
555,624,444,281,0
565,624,444,279,0
556,624,444,277,1
548,624,444,275,0
541,624,444,273,0
535,624,444,271,0
530,624,444,269,0
526,624,444,267,0
523,624,444,265,0
521,624,444,263,0
520,624,444,261,0
520,624,444,259,0
521,624,444,257,0
523,624,444,255,0
526,624,444,253,0
517,624,444,251,1
509,624,444,249,0
502,624,444,247,0
496,624,444,245,0
491,624,444,243,0
487,624,444,241,0
484,624,444,239,0
482,624,444,237,0
481,624,444,235,0
481,624,444,233,0
482,624,444,231,0
484,624,444,229,0
487,624,444,227,0
491,624,444,225,0
496,624,444,223,0
502,624,444,221,0
509,624,444,219,0
514,624,444,217,0
519,624,444,215,0
525,624,444,213,0
530,624,444,211,0
536,624,444,209,0
542,624,444,207,0
548,624,444,205,0
555,624,444,203,0
561,624,444,201,0
568,624,444,199,0
575,624,444,197,0
582,624,444,195,0
573,624,444,193,1
565,624,444,191,0
558,624,444,189,0
552,624,444,187,0
547,624,444,185,0
543,624,444,183,0
540,624,444,181,0
538,624,444,179,0
537,624,444,177,0
537,624,444,175,0
538,624,444,173,0
540,624,444,171,0
531,624,444,169,1
523,624,444,167,0
516,624,444,165,0
510,624,444,163,0
505,624,444,161,0
501,624,444,159,0
498,624,444,157,0
496,624,444,155,0
495,624,444,153,0
495,624,444,151,0
496,624,444,149,0
498,624,444,147,0
501,624,444,145,0
505,624,444,143,0
510,624,444,141,0
516,624,444,139,0
523,624,444,137,0
528,624,444,135,0
534,624,444,133,0
539,624,444,131,0
545,624,444,129,0
550,624,444,127,0
556,624,444,125,0
563,624,444,123,0
554,624,444,121,1
546,624,444,119,0
539,624,444,117,0
533,624,444,115,0
528,624,444,113,0
524,624,444,111,0
521,624,444,109,0
519,624,444,107,0
518,624,444,105,0
518,624,444,103,0
519,624,444,101,0
521,624,444,99,0
524,624,444,97,0
528,624,444,95,0
533,624,444,93,0
524,624,444,91,1
516,624,444,89,0
509,624,444,87,0
503,624,444,85,0
498,624,444,83,0
494,624,444,81,0
491,624,444,79,0
489,624,444,77,0
488,624,444,75,0
488,624,444,73,0
489,624,444,71,0
491,624,444,69,0
494,624,444,67,0
498,624,444,65,0
503,624,444,63,0
509,624,444,61,0
516,624,444,59,0
521,624,444,57,0
526,624,444,55,0
531,624,444,53,0
537,624,444,51,0
543,624,444,49,0
534,624,444,47,1
526,624,444,45,0
519,624,444,43,0
513,624,444,41,0
508,624,444,39,0
504,624,444,37,0
501,624,444,35,0
499,624,444,33,0
498,624,444,31,0
498,624,444,29,0
499,624,444,27,0
501,624,444,25,0
504,624,444,23,0
508,624,444,21,0
513,624,444,19,0
519,624,444,17,0
526,624,444,15,0
531,624,444,13,0
536,624,444,11,0
541,624,444,9,0
532,624,444,7,1
524,624,444,5,0
517,624,444,3,0
511,624,444,1,0
506,624,444,0,0
502,624,444,0,0
499,624,444,0,0
497,624,444,0,0
496,624,444,0,0
496,624,444,0,0
497,624,444,0,0
499,624,444,0,0
502,624,444,0,0
506,624,444,0,0
511,624,444,0,0
517,624,444,0,0
524,624,444,0,0
529,624,444,0,0
