bird_y, bottom_pipe_y, top_pipe_y, dist
355,543,347,333,0
360,543,347,331,0
365,543,347,329,0
371,543,347,327,0
377,543,347,325,0
383,543,347,323,0
389,543,347,321,0
395,543,347,319,0
402,543,347,317,0
409,543,347,315,0
416,543,347,313,0
423,543,347,311,0
414,543,347,309,1
406,543,347,307,0
399,543,347,305,0
393,543,347,303,0
388,543,347,301,0
384,543,347,299,0
381,543,347,297,0
379,543,347,295,0
378,543,347,293,0
378,543,347,291,0
379,543,347,289,0
381,543,347,287,0
384,543,347,285,0
388,543,347,283,0
393,543,347,281,0
399,543,347,279,0
406,543,347,277,0
411,543,347,275,0
402,543,347,273,1
394,543,347,271,0
387,543,347,269,0
381,543,347,267,0
376,543,347,265,0
372,543,347,263,0
369,543,347,261,0
367,543,347,259,0
366,543,347,257,0
366,543,347,255,0
367,543,347,253,0
369,543,347,251,0
372,543,347,249,0
376,543,347,247,0
381,543,347,245,0
387,543,347,243,0
394,543,347,241,0
399,543,347,239,0
404,543,347,237,0
409,543,347,235,0
415,543,347,233,0
421,543,347,231,0
427,543,347,229,0
433,543,347,227,0
424,543,347,225,1
416,543,347,223,0
409,543,347,221,0
403,543,347,219,0
398,543,347,217,0
394,543,347,215,0
391,543,347,213,0
389,543,347,211,0
388,543,347,209,0
388,543,347,207,0
389,543,347,205,0
391,543,347,203,0
394,543,347,201,0
398,543,347,199,0
403,543,347,197,0
409,543,347,195,0
416,543,347,193,0
421,543,347,191,0
426,543,347,189,0
431,543,347,187,0
437,543,347,185,0
428,543,347,183,1
420,543,347,181,0
413,543,347,179,0
407,543,347,177,0
402,543,347,175,0
398,543,347,173,0
395,543,347,171,0
393,543,347,169,0
392,543,347,167,0
392,543,347,165,0
393,543,347,163,0
395,543,347,161,0
398,543,347,159,0
402,543,347,157,0
407,543,347,155,0
413,543,347,153,0
420,543,347,151,0
425,543,347,149,0
430,543,347,147,0
436,543,347,145,0
427,543,347,143,1
419,543,347,141,0
412,543,347,139,0
406,543,347,137,0
401,543,347,135,0
397,543,347,133,0
394,543,347,131,0
392,543,347,129,0
391,543,347,127,0
391,543,347,125,0
392,543,347,123,0
394,543,347,121,0
397,543,347,119,0
401,543,347,117,0
406,543,347,115,0
412,543,347,113,0
419,543,347,111,0
424,543,347,109,0
429,543,347,107,0
434,543,347,105,0
440,543,347,103,0
446,543,347,101,0
452,543,347,99,0
443,543,347,97,1
435,543,347,95,0
428,543,347,93,0
422,543,347,91,0
417,543,347,89,0
413,543,347,87,0
410,543,347,85,0
408,543,347,83,0
407,543,347,81,0
407,543,347,79,0
408,543,347,77,0
410,543,347,75,0
413,543,347,73,0
417,543,347,71,0
422,543,347,69,0
428,543,347,67,0
435,543,347,65,0
440,543,347,63,0
445,543,347,61,0
450,543,347,59,0
441,543,347,57,1
433,543,347,55,0
426,543,347,53,0
420,543,347,51,0
415,543,347,49,0
411,543,347,47,0
408,543,347,45,0
406,543,347,43,0
405,543,347,41,0
405,543,347,39,0
406,543,347,37,0
408,543,347,35,0
411,543,347,33,0
415,543,347,31,0
420,543,347,29,0
426,543,347,27,0
433,543,347,25,0
438,543,347,23,0
443,543,347,21,0
449,543,347,19,0
454,543,347,17,0
445,543,347,15,1
437,543,347,13,0
430,543,347,11,0
424,543,347,9,0
419,543,347,7,0
415,543,347,5,0
412,543,347,3,0
410,543,347,1,0
409,543,347,0,0
409,543,347,0,0
410,543,347,0,0
412,543,347,0,0
415,543,347,0,0
419,543,347,0,0
424,543,347,0,0
430,543,347,0,0
437,543,347,0,0
442,543,347,0,0
448,543,347,0,0
439,543,347,0,1
431,543,347,0,0
424,543,347,0,0
418,543,347,0,0
413,543,347,0,0
409,543,347,0,0
406,543,347,0,0
404,543,347,0,0
403,543,347,0,0
403,543,347,0,0
404,543,347,0,0
406,543,347,0,0
409,543,347,0,0
413,543,347,0,0
418,543,347,0,0
424,543,347,0,0
431,543,347,0,0
436,543,347,0,0
441,543,347,0,0
446,543,347,0,0
452,543,347,0,0
443,543,347,0,1
435,543,347,0,0
428,543,347,0,0
422,543,347,0,0
417,543,347,0,0
413,543,347,0,0
410,543,347,0,0
408,543,347,0,0
407,543,347,0,0
407,543,347,0,0
408,543,347,0,0
410,543,347,0,0
413,543,347,0,0
417,543,347,0,0
422,543,347,0,0
428,543,347,0,0
435,543,347,0,0
440,543,347,0,0
445,543,347,0,0
450,543,347,0,0
456,543,347,0,0
462,543,347,0,0
468,543,347,0,0
474,543,347,0,0
480,543,347,0,0
487,543,347,0,0
494,543,347,0,0
501,543,347,0,0
508,543,347,0,0
515,543,347,0,0
506,543,347,0,1
498,543,347,0,0
491,543,347,0,0
485,543,347,0,0
480,543,347,0,0
476,543,347,0,0
473,543,347,0,0
471,543,347,0,0
470,543,347,0,0
470,543,347,0,0
471,543,347,0,0
473,627,431,103,0
476,627,431,101,0
480,627,431,99,0
485,627,431,97,0
491,627,431,95,0
498,627,431,93,0
503,627,431,91,0
509,627,431,89,0
514,627,431,87,0
520,627,431,85,0
525,627,431,83,0
531,627,431,81,0
538,627,431,79,0
529,627,431,77,1
521,627,431,75,0
514,627,431,73,0
508,627,431,71,0
503,627,431,69,0
499,627,431,67,0
496,627,431,65,0
494,627,431,63,0
493,627,431,61,0
493,627,431,59,0
494,627,431,57,0
496,627,431,55,0
499,627,431,53,0
503,627,431,51,0
508,627,431,49,0
514,627,431,47,0
521,627,431,45,0
526,627,431,43,0
531,627,431,41,0
536,627,431,39,0
542,627,431,37,0
533,627,431,35,1
525,627,431,33,0
518,627,431,31,0
512,627,431,29,0
507,627,431,27,0
503,627,431,25,0
500,627,431,23,0
498,627,431,21,0
497,627,431,19,0
497,627,431,17,0
498,627,431,15,0
500,627,431,13,0
503,627,431,11,0
507,627,431,9,0
512,627,431,7,0
518,627,431,5,0
525,627,431,3,0
516,627,431,1,1
508,627,431,0,0
501,627,431,0,0
495,627,431,0,0
490,627,431,0,0
486,627,431,0,0
483,627,431,0,0
481,627,431,0,0
480,627,431,0,0
480,627,431,0,0
481,627,431,0,0
483,627,431,0,0
486,627,431,0,0
490,627,431,0,0
495,627,431,0,0
501,627,431,0,0
508,627,431,0,0
513,627,431,0,0
518,627,431,0,0
509,627,431,0,1
501,627,431,0,0
494,627,431,0,0
488,627,431,0,0
483,627,431,0,0
479,627,431,0,0
476,627,431,0,0
474,627,431,0,0
473,627,431,0,0
473,627,431,0,0
474,627,431,0,0
476,627,431,0,0
479,627,431,0,0
483,627,431,0,0
488,627,431,0,0
494,627,431,0,0
501,627,431,0,0
506,627,431,0,0
511,627,431,0,0
517,627,431,0,0
522,627,431,0,0
528,627,431,0,0
534,627,431,0,0
525,627,431,0,1
517,627,431,0,0
510,627,431,0,0
504,627,431,0,0
499,627,431,0,0
495,627,431,0,0
492,627,431,0,0
490,627,431,0,0
489,627,431,0,0
489,627,431,0,0
490,627,431,0,0
492,627,431,0,0
495,627,431,0,0
499,627,431,0,0
504,627,431,0,0
510,627,431,0,0
501,627,431,0,1
493,627,431,0,0
486,627,431,0,0
480,627,431,0,0
475,627,431,0,0
471,627,431,0,0
468,627,431,0,0
466,627,431,0,0
465,627,431,0,0
465,627,431,0,0
466,627,431,0,0
468,627,431,0,0
471,627,431,0,0
475,627,431,0,0
