bird_y, bottom_pipe_y, top_pipe_y, dist, did_jump
355,552,378,333,0
360,552,378,331,0
365,552,378,329,0
371,552,378,327,0
377,552,378,325,0
383,552,378,323,0
389,552,378,321,0
395,552,378,319,0
402,552,378,317,0
409,552,378,315,0
416,552,378,313,0
423,552,378,311,0
430,552,378,309,0
438,552,378,307,0
446,552,378,305,0
454,552,378,303,0
462,552,378,301,0
470,552,378,299,0
479,552,378,297,0
488,552,378,295,0
497,552,378,293,0
506,552,378,291,0
515,552,378,289,0
525,552,378,287,0
535,552,378,285,0
545,552,378,283,0
555,552,378,281,0
565,552,378,279,0
576,552,378,277,0
587,552,378,275,0
598,552,378,273,0
609,552,378,271,0
620,552,378,269,0
632,552,378,267,0
644,552,378,265,0
656,552,378,263,0
668,552,378,261,0
680,552,378,259,0
693,552,378,257,0
705,552,378,255,0
718,552,378,253,0
732,552,378,251,0
55,426,226,333,0
60,426,226,331,0
65,426,226,329,0
71,426,226,327,0
77,426,226,325,0
83,426,226,323,0
89,426,226,321,0
95,426,226,319,0
102,426,226,317,0
109,426,226,315,0
116,426,226,313,0
123,426,226,311,0
130,426,226,309,0
138,426,226,307,0
146,426,226,305,0
154,426,226,303,0
162,426,226,301,0
170,426,226,299,0
179,426,226,297,0
188,426,226,295,0
197,426,226,293,0
206,426,226,291,0
215,426,226,289,0
225,426,226,287,0
235,426,226,285,0
245,426,226,283,0
255,426,226,281,0
265,426,226,279,0
276,426,226,277,0
286,426,226,275,0
297,426,226,273,0
309,426,226,271,0
320,426,226,269,0
332,426,226,267,0
343,426,226,265,0
355,426,226,263,0
368,426,226,261,0
380,426,226,259,0
393,426,226,257,0
405,426,226,255,0
418,426,226,253,0
432,426,226,251,0
445,426,226,249,0
459,426,226,247,0
472,426,226,245,0
486,426,226,243,0
501,426,226,241,0
515,426,226,239,0
530,426,226,237,0
544,426,226,235,0
559,426,226,233,0
550,426,226,231,1
542,426,226,229,0
535,426,226,227,0
529,426,226,225,0
524,426,226,223,0
520,426,226,221,0
517,426,226,219,0
515,426,226,217,0
514,426,226,215,0
514,426,226,213,0
515,426,226,211,0
517,426,226,209,0
520,426,226,207,0
524,426,226,205,0
529,426,226,203,0
535,426,226,201,0
542,426,226,199,0
547,426,226,197,0
553,426,226,195,0
544,426,226,193,1
536,426,226,191,0
529,426,226,189,0
523,426,226,187,0
518,426,226,185,0
514,426,226,183,0
511,426,226,181,0
509,426,226,179,0
508,426,226,177,0
508,426,226,175,0
509,426,226,173,0
500,426,226,171,1
492,426,226,169,0
485,426,226,167,0
479,426,226,165,0
474,426,226,163,0
470,426,226,161,0
467,426,226,159,0
465,426,226,157,0
464,426,226,155,0
464,426,226,153,0
465,426,226,151,0
467,426,226,149,0
470,426,226,147,0
461,426,226,145,1
453,426,226,143,0
446,426,226,141,0
440,426,226,139,0
435,426,226,137,0
431,426,226,135,0
428,426,226,133,0
426,426,226,131,0
425,426,226,129,0
425,426,226,127,0
426,426,226,125,0
417,426,226,123,1
409,426,226,121,0
402,426,226,119,0
396,426,226,117,0
391,426,226,115,0
387,426,226,113,0
384,426,226,111,0
382,426,226,109,0
381,426,226,107,0
381,426,226,105,0
382,426,226,103,0
384,426,226,101,0
387,426,226,99,0
378,426,226,97,1
370,426,226,95,0
363,426,226,93,0
357,426,226,91,0
352,426,226,89,0
348,426,226,87,0
345,426,226,85,0
343,426,226,83,0
342,426,226,81,0
342,426,226,79,0
343,426,226,77,0
345,426,226,75,0
348,426,226,73,0
352,426,226,71,0
357,426,226,69,0
363,426,226,67,0
370,426,226,65,0
375,426,226,63,0
380,426,226,61,0
385,426,226,59,0
391,426,226,57,0
382,426,226,55,1
374,426,226,53,0
367,426,226,51,0
361,426,226,49,0
356,426,226,47,0
352,426,226,45,0
349,426,226,43,0
347,426,226,41,0
346,426,226,39,0
346,426,226,37,0
347,426,226,35,0
349,426,226,33,0
352,426,226,31,0
356,426,226,29,0
361,426,226,27,0
352,426,226,25,1
344,426,226,23,0
337,426,226,21,0
331,426,226,19,0
326,426,226,17,0
322,426,226,15,0
319,426,226,13,0
317,426,226,11,0
316,426,226,9,0
316,426,226,7,0
317,426,226,5,0
319,426,226,3,0
322,426,226,1,0
326,426,226,0,0
317,426,226,0,1
309,426,226,0,0
302,426,226,0,0
296,426,226,0,0
291,426,226,0,0
287,426,226,0,0
284,426,226,0,0
282,426,226,0,0
281,426,226,0,0
281,426,226,0,0
282,426,226,0,0
284,426,226,0,0
287,426,226,0,0
291,426,226,0,0
282,426,226,0,1
274,426,226,0,0
267,426,226,0,0
261,426,226,0,0
256,426,226,0,0
252,426,226,0,0
249,426,226,0,0
247,426,226,0,0
246,426,226,0,0
246,426,226,0,0
247,426,226,0,0
249,426,226,0,0
252,426,226,0,0
256,426,226,0,0
261,426,226,0,0
267,426,226,0,0
274,426,226,0,0
265,426,226,0,1
257,426,226,0,0
250,426,226,0,0
244,426,226,0,0
239,426,226,0,0
235,426,226,0,0
232,426,226,0,0
230,426,226,0,0
229,426,226,0,0
229,426,226,0,0
230,426,226,0,0
232,426,226,0,0
235,426,226,0,0
239,426,226,0,0
244,426,226,0,0
250,426,226,0,0
257,426,226,0,0
262,426,226,0,0
267,426,226,0,0
272,426,226,0,0
278,426,226,0,0
284,426,226,0,0
290,426,226,0,0
296,426,226,0,0
302,426,226,0,0
309,426,226,0,0
316,426,226,0,0
323,426,226,0,0
330,426,226,0,0
337,426,226,0,0
345,426,226,0,0
353,426,226,0,0
344,426,226,0,1
336,426,226,0,0
329,426,226,0,0
323,426,226,0,0
318,426,226,0,0
314,426,226,0,0
311,426,226,0,0
309,426,226,0,0
308,426,226,0,0
308,593,393,103,0
309,593,393,101,0
311,593,393,99,0
314,593,393,97,0
318,593,393,95,0
323,593,393,93,0
329,593,393,91,0
336,593,393,89,0
341,593,393,87,0
346,593,393,85,0
351,593,393,83,0
357,593,393,81,0
363,593,393,79,0
369,593,393,77,0
375,593,393,75,0
381,593,393,73,0
388,593,393,71,0
395,593,393,69,0
402,593,393,67,0
409,593,393,65,0
416,593,393,63,0
424,593,393,61,0
432,593,393,59,0
440,593,393,57,0
448,593,393,55,0
439,593,393,53,1
431,593,393,51,0
424,593,393,49,0
418,593,393,47,0
413,593,393,45,0
409,593,393,43,0
406,593,393,41,0
404,593,393,39,0
403,593,393,37,0
403,593,393,35,0
404,593,393,33,0
406,593,393,31,0
409,593,393,29,0
413,593,393,27,0
418,593,393,25,0
424,593,393,23,0
431,593,393,21,0
436,593,393,19,0
441,593,393,17,0
447,593,393,15,0
452,593,393,13,0
458,593,393,11,0
464,593,393,9,0
470,593,393,7,0
477,593,393,5,0
483,593,393,3,0
490,593,393,1,0
481,593,393,0,1
473,593,393,0,0
466,593,393,0,0
460,593,393,0,0
455,593,393,0,0
451,593,393,0,0
448,593,393,0,0
446,593,393,0,0
445,593,393,0,0
445,593,393,0,0
446,593,393,0,0
448,593,393,0,0
451,593,393,0,0
455,593,393,0,0
460,593,393,0,0
466,593,393,0,0
457,593,393,0,1
449,593,393,0,0
442,593,393,0,0
436,593,393,0,0
431,593,393,0,0
427,593,393,0,0
424,593,393,0,0
422,593,393,0,0
421,593,393,0,0
421,593,393,0,0
422,593,393,0,0
424,593,393,0,0
427,593,393,0,0
431,593,393,0,0
436,593,393,0,0
442,593,393,0,0
449,593,393,0,0
454,593,393,0,0
459,593,393,0,0
465,593,393,0,0
470,593,393,0,0
476,593,393,0,0
482,593,393,0,0
488,593,393,0,0
479,593,393,0,1
471,593,393,0,0
464,593,393,0,0
458,593,393,0,0
453,593,393,0,0
449,593,393,0,0
446,593,393,0,0
444,593,393,0,0
443,593,393,0,0
443,593,393,0,0
444,593,393,0,0
446,593,393,0,0
449,593,393,0,0
453,593,393,0,0
458,593,393,0,0
464,593,393,0,0
471,593,393,0,0
476,593,393,0,0
481,593,393,0,0
487,593,393,0,0
478,593,393,0,1
470,593,393,0,0
463,593,393,0,0
457,593,393,0,0
452,593,393,0,0
448,593,393,0,0
445,593,393,0,0
443,593,393,0,0
442,593,393,0,0
442,593,393,0,0
443,593,393,0,0
445,593,393,0,0
448,593,393,0,0
452,539,339,85,0
457,539,339,83,0
463,539,339,81,0
470,539,339,79,0
475,539,339,77,0
480,539,339,75,0
485,539,339,73,0
476,539,339,71,1
468,539,339,69,0
461,539,339,67,0
455,539,339,65,0
450,539,339,63,0
446,539,339,61,0
443,539,339,59,0
441,539,339,57,0
440,539,339,55,0
440,539,339,53,0
441,539,339,51,0
443,539,339,49,0
446,539,339,47,0
450,539,339,45,0
455,539,339,43,0
461,539,339,41,0
468,539,339,39,0
459,539,339,37,1
451,539,339,35,0
444,539,339,33,0
438,539,339,31,0
433,539,339,29,0
429,539,339,27,0
426,539,339,25,0
424,539,339,23,0
423,539,339,21,0
423,539,339,19,0
424,539,339,17,0
426,539,339,15,0
429,539,339,13,0
433,539,339,11,0
438,539,339,9,0
444,539,339,7,0
451,539,339,5,0
442,539,339,3,1
434,539,339,1,0
427,539,339,0,0
421,539,339,0,0
416,539,339,0,0
412,539,339,0,0
409,539,339,0,0
407,539,339,0,0
406,539,339,0,0
406,539,339,0,0
407,539,339,0,0
409,539,339,0,0
412,539,339,0,0
416,539,339,0,0
421,539,339,0,0
427,539,339,0,0
434,539,339,0,0
439,539,339,0,0
445,539,339,0,0
450,539,339,0,0
456,539,339,0,0
461,539,339,0,0
467,539,339,0,0
458,539,339,0,1
450,539,339,0,0
443,539,339,0,0
437,539,339,0,0
432,539,339,0,0
428,539,339,0,0
425,539,339,0,0
423,539,339,0,0
422,539,339,0,0
422,539,339,0,0
423,539,339,0,0
425,539,339,0,0
428,539,339,0,0
432,539,339,0,0
437,539,339,0,0
443,539,339,0,0
450,539,339,0,0
441,539,339,0,1
433,539,339,0,0
426,539,339,0,0
420,539,339,0,0
415,539,339,0,0
411,539,339,0,0
408,539,339,0,0
406,539,339,0,0
405,539,339,0,0
405,539,339,0,0
406,539,339,0,0
408,539,339,0,0
411,539,339,0,0
415,539,339,0,0
420,539,339,0,0
426,539,339,0,0
433,539,339,0,0
438,539,339,0,0
444,539,339,0,0
449,539,339,0,0
455,539,339,0,0
460,539,339,0,0
466,539,339,0,0
473,539,339,0,0
479,539,339,0,0
486,539,339,0,0
492,539,339,0,0
499,539,339,0,0
507,539,339,0,0
514,539,339,0,0
522,539,339,0,0
529,539,339,0,0
537,539,339,0,0
528,539,339,0,1
520,539,339,0,0
513,466,266,103,0
507,466,266,101,0
502,466,266,99,0
498,466,266,97,0
495,466,266,95,0
493,466,266,93,0
492,466,266,91,0
492,466,266,89,0
493,466,266,87,0
495,466,266,85,0
498,466,266,83,0
489,466,266,81,1
481,466,266,79,0
474,466,266,77,0
468,466,266,75,0
463,466,266,73,0
459,466,266,71,0
456,466,266,69,0
454,466,266,67,0
453,466,266,65,0
453,466,266,63,0
454,466,266,61,0
456,466,266,59,0
459,466,266,57,0
463,466,266,55,0
454,466,266,53,1
446,466,266,51,0
439,466,266,49,-1
433,466,266,47,-1
428,466,266,45,-1
424,466,266,43,-1
421,466,266,41,-1
419,466,266,39,-1
418,466,266,37,-1
418,466,266,35,-1
419,466,266,33,-1
421,466,266,31,-1
424,466,266,29,-1
428,466,266,27,-1
433,466,266,25,-1
439,466,266,23,-1
446,466,266,21,-1
451,466,266,19,-1
457,466,266,17,-1
462,466,266,15,-1
468,466,266,13,-1
473,466,266,11,-1
479,466,266,9,-1
486,466,266,7,-1
492,466,266,5,-1
499,466,266,3,-1
505,466,266,1,-1
512,466,266,0,-1
520,466,266,0,-1
527,466,266,0,-1
535,466,266,0,-1
542,466,266,0,-1
550,466,266,0,-1
559,466,266,0,-1
567,466,266,0,-1
576,466,266,0,-1
584,466,266,0,-1
593,466,266,0,-1
603,466,266,0,-1
612,466,266,0,-1
622,466,266,0,-1
631,466,266,0,-1
641,466,266,0,-1
652,466,266,0,-1
662,466,266,0,-1
673,466,266,0,-1
683,466,266,0,-1
694,466,266,0,-1
706,466,266,0,-1
717,466,266,0,-1
729,466,266,0,-1
55,605,405,333,0
60,605,405,331,0
65,605,405,329,0
71,605,405,327,0
77,605,405,325,0
83,605,405,323,0
89,605,405,321,0
95,605,405,319,0
102,605,405,317,0
109,605,405,315,0
116,605,405,313,0
