355,412,250,333,0
360,412,250,331,0
365,412,250,329,0
371,412,250,327,0
377,412,250,325,0
383,412,250,323,0
389,412,250,321,0
395,412,250,319,0
402,412,250,317,0
409,412,250,315,0
416,412,250,313,0
423,412,250,311,0
430,412,250,309,0
438,412,250,307,0
446,412,250,305,0
454,412,250,303,0
462,412,250,301,0
470,412,250,299,0
479,412,250,297,0
488,412,250,295,0
497,412,250,293,0
488,412,250,291,1
480,412,250,289,0
473,412,250,287,0
467,412,250,285,0
462,412,250,283,0
458,412,250,281,0
455,412,250,279,0
446,412,250,277,1
438,412,250,275,0
431,412,250,273,0
425,412,250,271,0
420,412,250,269,0
416,412,250,267,0
413,412,250,265,0
411,412,250,263,0
402,412,250,261,1
394,412,250,259,0
387,412,250,257,0
381,412,250,255,0
376,412,250,253,0
372,412,250,251,0
369,412,250,249,0
367,412,250,247,0
366,412,250,245,0
366,412,250,243,0
367,412,250,241,0
369,412,250,239,0
372,412,250,237,0
376,412,250,235,0
381,412,250,233,0
387,412,250,231,0
394,412,250,229,0
399,412,250,227,0
404,412,250,225,0
409,412,250,223,0
415,412,250,221,0
421,412,250,219,0
427,412,250,217,0
433,412,250,215,0
439,412,250,213,0
446,412,250,211,0
453,412,250,209,0
460,412,250,207,0
467,412,250,205,0
474,412,250,203,0
482,412,250,201,0
490,412,250,199,0
498,412,250,197,0
506,412,250,195,0
